Mechanism,Advertiser,Expected Clicks,Expected Click Spend,Per-Click ROI,Surplus per Response,Allocated CTR,CTR Lift
Han-Dai QP w/ repl.,SunWing Airlines,32.478174255644184,27.033322767958797,2.6042377625297575,0.7040119999897376,0.32329866542830527,1.0058223398043873
Han-Dai QP w/ repl.,TropicStay,33.827890667260846,28.673309433600195,2.5393079489757495,0.7281036256818233,0.32497582448281753,1.0184021813725093
Han-Dai QP w/ repl.,WanderBite,0.0,0.0,0.0,0.0,0.0,0.0
Han-Dai QP w/ repl.,NovaSkin,0.0,0.0,0.0,0.0,0.0,0.0
Han-Dai QP w/ repl.,GridPower Bank,0.0,0.0,0.0,0.0,0.0,0.0
Han-Dai QP w/o repl.,SunWing Airlines,25.079325294230646,26.572171730593062,1.8314575355566038,0.4866580415209883,0.35951715812996704,0.9823442601406893
Han-Dai QP w/o repl.,TropicStay,30.189756335534355,33.285457425631186,1.720986160666699,0.5728381158097188,0.3835130859238328,1.0175642764157833
Han-Dai QP w/o repl.,WanderBite,0.0,0.0,0.0,0.0,0.0,0.0
Han-Dai QP w/o repl.,NovaSkin,0.0,0.0,0.0,0.0,0.0,0.0
Han-Dai QP w/o repl.,GridPower Bank,0.0,0.0,0.0,0.0,0.0,0.0
Hetero QP w/ repl.,SunWing Airlines,23.475004637694607,39.894838289297155,1.0594773598561857,0.42267677942634024,0.20957957683692913,1.3440748044310513
Hetero QP w/ repl.,TropicStay,24.400290817526987,35.85120481226615,0.7030270005539283,0.2520436498541203,0.22604594072798828,1.4855235636363306
Hetero QP w/ repl.,WanderBite,0.0,0.0,0.0,0.0,0.0,0.0
Hetero QP w/ repl.,NovaSkin,0.0,0.0,0.0,0.0,0.0,0.0
Hetero QP w/ repl.,GridPower Bank,0.0,0.0,0.0,0.0,0.0,0.0
Hetero QP w/o repl.,SunWing Airlines,10.836719941417961,18.430849464581968,1.0508980247705308,0.19368943297172186,0.20750931783687995,1.3291189888574684
Hetero QP w/o repl.,TropicStay,11.792982886554126,17.24796185474681,0.7475006131422514,0.12892862061877403,0.21688907498007393,1.404430240717318
Hetero QP w/o repl.,WanderBite,0.0,0.0,0.0,0.0,0.0,0.0
Hetero QP w/o repl.,NovaSkin,0.0,0.0,0.0,0.0,0.0,0.0
Hetero QP w/o repl.,GridPower Bank,0.0,0.0,0.0,0.0,0.0,0.0
